QuizTitle,QuizDescription,QuestionText,Category,Difficulty,Points,OptionText,IsCorrect
Flash Gordon: The Movie,"Fifty questions about the 1980 film Flash Gordon, including its story, characters, production, and Queen soundtrack.",Who plays Flash Gordon in the 1980 film?,Cast,easy,1,Sam J. Jones,true
Flash Gordon: The Movie,,Who plays Flash Gordon in the 1980 film?,,,,Timothy Dalton,false
Flash Gordon: The Movie,,Who plays Flash Gordon in the 1980 film?,,,,Brian Blessed,false
Flash Gordon: The Movie,,Who plays Flash Gordon in the 1980 film?,,,,Richard O'Brien,false
Flash Gordon: The Movie,,Who plays Dale Arden?,Cast,easy,1,Ornella Muti,false
Flash Gordon: The Movie,,Who plays Dale Arden?,,,,Melody Anderson,true
Flash Gordon: The Movie,,Who plays Dale Arden?,,,,Mariangela Melato,false
Flash Gordon: The Movie,,Who plays Dale Arden?,,,,Suzanne Danielle,false
Flash Gordon: The Movie,,Who portrays Ming the Merciless?,Cast,easy,1,Topol,false
Flash Gordon: The Movie,,Who portrays Ming the Merciless?,,,,Peter Wyngarde,false
Flash Gordon: The Movie,,Who portrays Ming the Merciless?,,,,Max von Sydow,true
Flash Gordon: The Movie,,Who portrays Ming the Merciless?,,,,Timothy Dalton,false
Flash Gordon: The Movie,,Who plays Dr. Hans Zarkov?,Cast,easy,1,Brian Blessed,false
Flash Gordon: The Movie,,Who plays Dr. Hans Zarkov?,,,,Sam J. Jones,false
Flash Gordon: The Movie,,Who plays Dr. Hans Zarkov?,,,,Philip Stone,false
Flash Gordon: The Movie,,Who plays Dr. Hans Zarkov?,,,,Topol,true
Flash Gordon: The Movie,,Who plays Prince Barin?,Cast,easy,1,Timothy Dalton,true
Flash Gordon: The Movie,,Who plays Prince Barin?,,,,Richard O'Brien,false
Flash Gordon: The Movie,,Who plays Prince Barin?,,,,Peter Wyngarde,false
Flash Gordon: The Movie,,Who plays Prince Barin?,,,,John Hallam,false
Flash Gordon: The Movie,,Who plays Prince Vultan?,Cast,easy,1,Max von Sydow,false
Flash Gordon: The Movie,,Who plays Prince Vultan?,,,,Brian Blessed,true
Flash Gordon: The Movie,,Who plays Prince Vultan?,,,,Topol,false
Flash Gordon: The Movie,,Who plays Prince Vultan?,,,,Sam J. Jones,false
Flash Gordon: The Movie,,Who plays the masked Klytus?,Cast,easy,1,Timothy Dalton,false
Flash Gordon: The Movie,,Who plays the masked Klytus?,,,,Philip Stone,false
