QuizTitle,QuizDescription,QuestionText,Category,Difficulty,Points,OptionText,IsCorrect
Queen Quiz: Archive Explorer (Part 1),"25 fresh questions on Queen concerts, milestones, songwriting and the band's wider story.",In which decade did this happen: Queen play the Pavilion de Paris amid tight police crowd restrictions?,Queen Timeline,easy,1,1970s,true
Queen Quiz: Archive Explorer (Part 1),,In which decade did this happen: Queen play the Pavilion de Paris amid tight police crowd restrictions?,,,,1960s,false
Queen Quiz: Archive Explorer (Part 1),,In which decade did this happen: Queen play the Pavilion de Paris amid tight police crowd restrictions?,,,,1940s,false
Queen Quiz: Archive Explorer (Part 1),,In which decade did this happen: Queen play the Pavilion de Paris amid tight police crowd restrictions?,,,,1980s,false
Queen Quiz: Archive Explorer (Part 1),,In which decade did this happen: Brian leaves Hampton Grammar School with ten O levels and four A levels?,Queen Timeline,easy,1,1940s,false
Queen Quiz: Archive Explorer (Part 1),,In which decade did this happen: Brian leaves Hampton Grammar School with ten O levels and four A levels?,,,,1960s,true
Queen Quiz: Archive Explorer (Part 1),,In which decade did this happen: Brian leaves Hampton Grammar School with ten O levels and four A levels?,,,,2010s,false
Queen Quiz: Archive Explorer (Part 1),,In which decade did this happen: Brian leaves Hampton Grammar School with ten O levels and four A levels?,,,,1980s,false
Queen Quiz: Archive Explorer (Part 1),,What is the Mercury Phoenix Trust's annual dress-up fundraiser launched in 2010 called?,Freddie Mercury,easy,1,Mercury Week,false
Queen Quiz: Archive Explorer (Part 1),,What is the Mercury Phoenix Trust's annual dress-up fundraiser launched in 2010 called?,,,,Queen For A Day,false
Queen Quiz: Archive Explorer (Part 1),,What is the Mercury Phoenix Trust's annual dress-up fundraiser launched in 2010 called?,,,,Freddie For A Day,true
Queen Quiz: Archive Explorer (Part 1),,What is the Mercury Phoenix Trust's annual dress-up fundraiser launched in 2010 called?,,,,The Freddie Challenge,false
Queen Quiz: Archive Explorer (Part 1),,In which country did Queen play at Kokusai Kaikan on 23 April 1975?,Concerts,medium,2,The Netherlands,false
Queen Quiz: Archive Explorer (Part 1),,In which country did Queen play at Kokusai Kaikan on 23 April 1975?,,,,Spain,false
Queen Quiz: Archive Explorer (Part 1),,In which country did Queen play at Kokusai Kaikan on 23 April 1975?,,,,Finland,false
Queen Quiz: Archive Explorer (Part 1),,In which country did Queen play at Kokusai Kaikan on 23 April 1975?,,,,Japan,true
Queen Quiz: Archive Explorer (Part 1),,In which country did Queen play at Yokohama Bunka Taikukan on 30 April 1975?,Concerts,medium,2,Japan,true
Queen Quiz: Archive Explorer (Part 1),,In which country did Queen play at Yokohama Bunka Taikukan on 30 April 1975?,,,,Sweden,false
Queen Quiz: Archive Explorer (Part 1),,In which country did Queen play at Yokohama Bunka Taikukan on 30 April 1975?,,,,Norway,false
Queen Quiz: Archive Explorer (Part 1),,In which country did Queen play at Yokohama Bunka Taikukan on 30 April 1975?,,,,Argentina,false
Queen Quiz: Archive Explorer (Part 1),,In what year did this Queen-related event occur: Queen fly home to the UK for Christmas after their exhausting US tour?,Queen Timeline,medium,2,1981,false
Queen Quiz: Archive Explorer (Part 1),,In what year did this Queen-related event occur: Queen fly home to the UK for Christmas after their exhausting US tour?,,,,1977,true
Queen Quiz: Archive Explorer (Part 1),,In what year did this Queen-related event occur: Queen fly home to the UK for Christmas after their exhausting US tour?,,,,1974,false
Queen Quiz: Archive Explorer (Part 1),,In what year did this Queen-related event occur: Queen fly home to the UK for Christmas after their exhausting US tour?,,,,1975,false
Queen Quiz: Archive Explorer (Part 1),,In which South African city was the first major 46664 concert held in 2003?,Brian May,medium,2,Johannesburg,false
Queen Quiz: Archive Explorer (Part 1),,In which South African city was the first major 46664 concert held in 2003?,,,,Durban,false
Queen Quiz: Archive Explorer (Part 1),,In which South African city was the first major 46664 concert held in 2003?,,,,Cape Town,true
Queen Quiz: Archive Explorer (Part 1),,In which South African city was the first major 46664 concert held in 2003?,,,,Pretoria,false
Queen Quiz: Archive Explorer (Part 1),,In which country did Queen play at Auditorium Theater on 22 February 1976?,Concerts,medium,2,Finland,false
Queen Quiz: Archive Explorer (Part 1),,In which country did Queen play at Auditorium Theater on 22 February 1976?,,,,Belgium,false
Queen Quiz: Archive Explorer (Part 1),,In which country did Queen play at Auditorium Theater on 22 February 1976?,,,,Norway,false
Queen Quiz: Archive Explorer (Part 1),,In which country did Queen play at Auditorium Theater on 22 February 1976?,,,,USA,true
Queen Quiz: Archive Explorer (Part 1),,In which country did Queen play at Veteran's Memorial Coliseum on 10 September 1982?,Concerts,medium,2,USA,true
Queen Quiz: Archive Explorer (Part 1),,In which country did Queen play at Veteran's Memorial Coliseum on 10 September 1982?,,,,Norway,false
Queen Quiz: Archive Explorer (Part 1),,In which country did Queen play at Veteran's Memorial Coliseum on 10 September 1982?,,,,Austria,false
Queen Quiz: Archive Explorer (Part 1),,In which country did Queen play at Veteran's Memorial Coliseum on 10 September 1982?,,,,Sweden,false
Queen Quiz: Archive Explorer (Part 1),,In what year did this Queen-related event occur: Freddie's single 'Time' (from the stage musical of the same name) is released; the video is filmed at 6am on the closed set of the Dominion Theatre?,Queen Timeline,medium,2,1984,false
Queen Quiz: Archive Explorer (Part 1),,In what year did this Queen-related event occur: Freddie's single 'Time' (from the stage musical of the same name) is released; the video is filmed at 6am on the closed set of the Dominion Theatre?,,,,1986,true
Queen Quiz: Archive Explorer (Part 1),,In what year did this Queen-related event occur: Freddie's single 'Time' (from the stage musical of the same name) is released; the video is filmed at 6am on the closed set of the Dominion Theatre?,,,,1989,false
Queen Quiz: Archive Explorer (Part 1),,In what year did this Queen-related event occur: Freddie's single 'Time' (from the stage musical of the same name) is released; the video is filmed at 6am on the closed set of the Dominion Theatre?,,,,1983,false
Queen Quiz: Archive Explorer (Part 1),,In which month of 1975 did this happen: Queen depart for their first headlining US tour?,Queen Timeline,hard,3,October,false
Queen Quiz: Archive Explorer (Part 1),,In which month of 1975 did this happen: Queen depart for their first headlining US tour?,,,,August,false
Queen Quiz: Archive Explorer (Part 1),,In which month of 1975 did this happen: Queen depart for their first headlining US tour?,,,,January,true
Queen Quiz: Archive Explorer (Part 1),,In which month of 1975 did this happen: Queen depart for their first headlining US tour?,,,,May,false
Queen Quiz: Archive Explorer (Part 1),,In what year did this Queen-related event occur: Queen perform (mimed) at the Golden Rose pop festival in Switzerland?,Queen Timeline,hard,3,1988,false
Queen Quiz: Archive Explorer (Part 1),,In what year did this Queen-related event occur: Queen perform (mimed) at the Golden Rose pop festival in Switzerland?,,,,1981,false
Queen Quiz: Archive Explorer (Part 1),,In what year did this Queen-related event occur: Queen perform (mimed) at the Golden Rose pop festival in Switzerland?,,,,1985,false
Queen Quiz: Archive Explorer (Part 1),,In what year did this Queen-related event occur: Queen perform (mimed) at the Golden Rose pop festival in Switzerland?,,,,1984,true
Queen Quiz: Archive Explorer (Part 1),,"In which month of 1974 did this happen: Queen play their first-ever US gig, at Regis College, Denver?",Queen Timeline,hard,3,April,true
Queen Quiz: Archive Explorer (Part 1),,"In which month of 1974 did this happen: Queen play their first-ever US gig, at Regis College, Denver?",,,,June,false
Queen Quiz: Archive Explorer (Part 1),,"In which month of 1974 did this happen: Queen play their first-ever US gig, at Regis College, Denver?",,,,December,false
Queen Quiz: Archive Explorer (Part 1),,"In which month of 1974 did this happen: Queen play their first-ever US gig, at Regis College, Denver?",,,,January,false
Queen Quiz: Archive Explorer (Part 1),,Which city hosted Queen's 25 November 1974 show at Helsingin Kulttuuritalo?,Concerts,hard,3,Waterbury,false
Queen Quiz: Archive Explorer (Part 1),,Which city hosted Queen's 25 November 1974 show at Helsingin Kulttuuritalo?,,,,Helsinki,true
Queen Quiz: Archive Explorer (Part 1),,Which city hosted Queen's 25 November 1974 show at Helsingin Kulttuuritalo?,,,,Frankfurt,false
Queen Quiz: Archive Explorer (Part 1),,Which city hosted Queen's 25 November 1974 show at Helsingin Kulttuuritalo?,,,,Dagenham,false
Queen Quiz: Archive Explorer (Part 1),,"In which month of 1975 did this happen: EMI releases A Night at the Opera, titled after the band's favourite Marx Brothers film?",Queen Timeline,hard,3,April,false
Queen Quiz: Archive Explorer (Part 1),,"In which month of 1975 did this happen: EMI releases A Night at the Opera, titled after the band's favourite Marx Brothers film?",,,,December,false
Queen Quiz: Archive Explorer (Part 1),,"In which month of 1975 did this happen: EMI releases A Night at the Opera, titled after the band's favourite Marx Brothers film?",,,,November,true
Queen Quiz: Archive Explorer (Part 1),,"In which month of 1975 did this happen: EMI releases A Night at the Opera, titled after the band's favourite Marx Brothers film?",,,,October,false
Queen Quiz: Archive Explorer (Part 1),,Which city hosted Queen's 22 December 1979 show at Alexandra Palace?,Concerts,hard,3,Dublin,false
Queen Quiz: Archive Explorer (Part 1),,Which city hosted Queen's 22 December 1979 show at Alexandra Palace?,,,,Manchester,false
Queen Quiz: Archive Explorer (Part 1),,Which city hosted Queen's 22 December 1979 show at Alexandra Palace?,,,,Kiel,false
Queen Quiz: Archive Explorer (Part 1),,Which city hosted Queen's 22 December 1979 show at Alexandra Palace?,,,,London,true
Queen Quiz: Archive Explorer (Part 1),,Which city hosted Queen's 9 November 1978 show at Cobo Arena?,Concerts,hard,3,Detroit,true
Queen Quiz: Archive Explorer (Part 1),,Which city hosted Queen's 9 November 1978 show at Cobo Arena?,,,,Montreal,false
Queen Quiz: Archive Explorer (Part 1),,Which city hosted Queen's 9 November 1978 show at Cobo Arena?,,,,Vancouver,false
Queen Quiz: Archive Explorer (Part 1),,Which city hosted Queen's 9 November 1978 show at Cobo Arena?,,,,Nashville,false
Queen Quiz: Archive Explorer (Part 1),,Which Queen member has the individual writing credit for 'Lazing on a Sunday Afternoon'?,Songwriting,hard,3,Brian May,false
Queen Quiz: Archive Explorer (Part 1),,Which Queen member has the individual writing credit for 'Lazing on a Sunday Afternoon'?,,,,Freddie Mercury,true
Queen Quiz: Archive Explorer (Part 1),,Which Queen member has the individual writing credit for 'Lazing on a Sunday Afternoon'?,,,,Roger Taylor,false
Queen Quiz: Archive Explorer (Part 1),,Which Queen member has the individual writing credit for 'Lazing on a Sunday Afternoon'?,,,,John Deacon,false
Queen Quiz: Archive Explorer (Part 1),,At which venue did Queen perform in Cologne on 7 May 1982?,Concerts,hard,3,Reunion,false
Queen Quiz: Archive Explorer (Part 1),,At which venue did Queen perform in Cologne on 7 May 1982?,,,,Palais Des Sports,false
Queen Quiz: Archive Explorer (Part 1),,At which venue did Queen perform in Cologne on 7 May 1982?,,,,Sporthalle,true
Queen Quiz: Archive Explorer (Part 1),,At which venue did Queen perform in Cologne on 7 May 1982?,,,,Waldbühne,false
Queen Quiz: Archive Explorer (Part 1),,Which 1996 film received a mini-opera from Brian May?,Brian May,hard,3,The Hunchback of Notre Dame,false
Queen Quiz: Archive Explorer (Part 1),,Which 1996 film received a mini-opera from Brian May?,,,,Space Jam,false
Queen Quiz: Archive Explorer (Part 1),,Which 1996 film received a mini-opera from Brian May?,,,,The Phantom,false
Queen Quiz: Archive Explorer (Part 1),,Which 1996 film received a mini-opera from Brian May?,,,,Pinocchio,true
Queen Quiz: Archive Explorer (Part 1),,Which city hosted Queen's 10 April 1982 show at Ice Stadium?,Concerts,hard,3,Stockholm,true
Queen Quiz: Archive Explorer (Part 1),,Which city hosted Queen's 10 April 1982 show at Ice Stadium?,,,,Berlin,false
Queen Quiz: Archive Explorer (Part 1),,Which city hosted Queen's 10 April 1982 show at Ice Stadium?,,,,Lyon,false
Queen Quiz: Archive Explorer (Part 1),,Which city hosted Queen's 10 April 1982 show at Ice Stadium?,,,,Kassel,false
Queen Quiz: Archive Explorer (Part 1),,Which country inspired Roger Taylor's song 'People on Streets' through the inequality he saw there?,Roger Taylor,hard,3,Brazil,false
Queen Quiz: Archive Explorer (Part 1),,Which country inspired Roger Taylor's song 'People on Streets' through the inequality he saw there?,,,,India,true
Queen Quiz: Archive Explorer (Part 1),,Which country inspired Roger Taylor's song 'People on Streets' through the inequality he saw there?,,,,South Africa,false
Queen Quiz: Archive Explorer (Part 1),,Which country inspired Roger Taylor's song 'People on Streets' through the inequality he saw there?,,,,Mexico,false
