QuizTitle,QuestionText,EditorialDifficulty,Source
Bohemian Rhapsody: The Movie (Part 1),Who plays Freddie Mercury in Bohemian Rhapsody?,Easy,https://www.20thcenturystudios.com/movies/bohemian-rhapsody
Bohemian Rhapsody: The Movie (Part 1),Who plays Mary Austin?,Easy,https://www.celluloidportraits.com/documenti/pressbook/Bohemian%20Rhapsody%20-%20Pressbook%20inglese.pdf
Bohemian Rhapsody: The Movie (Part 1),Which actor portrays Brian May?,Easy,https://www.20thcenturystudios.com/movies/bohemian-rhapsody
Bohemian Rhapsody: The Movie (Part 1),Which actor portrays Roger Taylor?,Easy,https://www.20thcenturystudios.com/movies/bohemian-rhapsody
Bohemian Rhapsody: The Movie (Part 1),Which actor portrays John Deacon?,Easy,https://www.celluloidportraits.com/documenti/pressbook/Bohemian%20Rhapsody%20-%20Pressbook%20inglese.pdf
Bohemian Rhapsody: The Movie (Part 1),Which band is at the centre of the film?,Easy,https://www.20thcenturystudios.com/movies/bohemian-rhapsody
Bohemian Rhapsody: The Movie (Part 1),Which benefit concert forms the film's climax?,Easy,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 1),At which stadium does the film's Live Aid finale take place?,Easy,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 1),In what year is the film's Live Aid finale set?,Easy,https://goldenglobes.com/film/bohemian-rhapsody/
Bohemian Rhapsody: The Movie (Part 1),What job does Freddie have when the story flashes back to 1970?,Easy,https://www.celluloidportraits.com/documenti/pressbook/Bohemian%20Rhapsody%20-%20Pressbook%20inglese.pdf
Bohemian Rhapsody: The Movie (Part 1),What is the name of Brian May and Roger Taylor's band when Freddie first meets them?,Easy,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 1),Which singer has just left Smile when Freddie offers to replace him?,Easy,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
Bohemian Rhapsody: The Movie (Part 1),Which surname does Freddie adopt for his stage name?,Easy,"Bohemian Rhapsody (2018), feature film, 20th Century Fox"
