QuizTitle,QuizDescription,QuestionText,Category,Difficulty,Points,OptionText,IsCorrect
Queen Quiz: Before the Crown (Part 1),Additional sourced Queen questions for editorial review.,Which future Queen drummer answered Brian May's noticeboard advert?,Smile,medium,2,Roger Taylor,true
Queen Quiz: Before the Crown (Part 1),,Which future Queen drummer answered Brian May's noticeboard advert?,,,,John Deacon,false
Queen Quiz: Before the Crown (Part 1),,Which future Queen drummer answered Brian May's noticeboard advert?,,,,Brian May,false
Queen Quiz: Before the Crown (Part 1),,Which future Queen drummer answered Brian May's noticeboard advert?,,,,Freddie Mercury,false
Queen Quiz: Before the Crown (Part 1),,At which college did Barry Mitchell first play a Queen gig in August 1970?,Early Queen,hard,4,Chelsea College,false
Queen Quiz: Before the Crown (Part 1),,At which college did Barry Mitchell first play a Queen gig in August 1970?,,,,Ealing College of Art,false
Queen Quiz: Before the Crown (Part 1),,At which college did Barry Mitchell first play a Queen gig in August 1970?,,,,Imperial College,true
Queen Quiz: Before the Crown (Part 1),,At which college did Barry Mitchell first play a Queen gig in August 1970?,,,,Bedford College,false
Queen Quiz: Before the Crown (Part 1),,Who played bass at Queen's first three shows in 1970?,Early Queen,hard,3,Barry Mitchell,false
Queen Quiz: Before the Crown (Part 1),,Who played bass at Queen's first three shows in 1970?,,,,Tim Staffell,false
Queen Quiz: Before the Crown (Part 1),,Who played bass at Queen's first three shows in 1970?,,,,John Deacon,false
Queen Quiz: Before the Crown (Part 1),,Who played bass at Queen's first three shows in 1970?,,,,Mike Grose,true
Queen Quiz: Before the Crown (Part 1),,At what type of venue did John Deacon organise a 1972 Queen gig attended by just six people?,Early Queen,hard,3,Rainbow Theatre,false
Queen Quiz: Before the Crown (Part 1),,At what type of venue did John Deacon organise a 1972 Queen gig attended by just six people?,,,,Hyde Park,false
Queen Quiz: Before the Crown (Part 1),,At what type of venue did John Deacon organise a 1972 Queen gig attended by just six people?,,,,Royal Albert Hall,false
Queen Quiz: Before the Crown (Part 1),,At what type of venue did John Deacon organise a 1972 Queen gig attended by just six people?,,,,Bedford College,true
Queen Quiz: Before the Crown (Part 1),,Which qualification did Freddie gain from Ealing College of Art in 1969?,Freddie Mercury,hard,3,A degree in physics,false
Queen Quiz: Before the Crown (Part 1),,Which qualification did Freddie gain from Ealing College of Art in 1969?,,,,A biology degree,false
Queen Quiz: Before the Crown (Part 1),,Which qualification did Freddie gain from Ealing College of Art in 1969?,,,,A dentistry diploma,false
Queen Quiz: Before the Crown (Part 1),,Which qualification did Freddie gain from Ealing College of Art in 1969?,,,,A diploma in graphic art and design,true
Queen Quiz: Before the Crown (Part 1),,Which London market did Freddie and Roger run a stall in?,Freddie Mercury,hard,3,Kensington Market,true
Queen Quiz: Before the Crown (Part 1),,Which London market did Freddie and Roger run a stall in?,,,,Camden Market,false
Queen Quiz: Before the Crown (Part 1),,Which London market did Freddie and Roger run a stall in?,,,,Portobello Road Market,false
Queen Quiz: Before the Crown (Part 1),,Which London market did Freddie and Roger run a stall in?,,,,Covent Garden Market,false
Queen Quiz: Before the Crown (Part 1),,Which band member earned a biology degree before Queen's debut album?,Early Queen,medium,2,John Deacon,false
Queen Quiz: Before the Crown (Part 1),,Which band member earned a biology degree before Queen's debut album?,,,,Brian May,false
Queen Quiz: Before the Crown (Part 1),,Which band member earned a biology degree before Queen's debut album?,,,,Freddie Mercury,false
Queen Quiz: Before the Crown (Part 1),,Which band member earned a biology degree before Queen's debut album?,,,,Roger Taylor,true
Queen Quiz: Before the Crown (Part 1),,In which town did Brian May and his father begin building the Red Special?,Brian May,hard,3,Feltham,true
Queen Quiz: Before the Crown (Part 1),,In which town did Brian May and his father begin building the Red Special?,,,,Hampton,false
Queen Quiz: Before the Crown (Part 1),,In which town did Brian May and his father begin building the Red Special?,,,,Twickenham,false
Queen Quiz: Before the Crown (Part 1),,In which town did Brian May and his father begin building the Red Special?,,,,Ealing,false
Queen Quiz: Before the Crown (Part 1),,Which Truro venue hosted the first gig actually billed under the name Queen?,Early Queen,hard,4,City Hall,false
Queen Quiz: Before the Crown (Part 1),,Which Truro venue hosted the first gig actually billed under the name Queen?,,,,PJ's,true
Queen Quiz: Before the Crown (Part 1),,Which Truro venue hosted the first gig actually billed under the name Queen?,,,,The Marquee,false
Queen Quiz: Before the Crown (Part 1),,Which Truro venue hosted the first gig actually billed under the name Queen?,,,,Tregye Country Club,false
Queen Quiz: Before the Crown (Part 1),,"Which pre-Queen band included Freddie, Mike Bersin and Tupp Taylor?",Freddie Mercury,hard,3,Smile,false
Queen Quiz: Before the Crown (Part 1),,"Which pre-Queen band included Freddie, Mike Bersin and Tupp Taylor?",,,,The Art,false
Queen Quiz: Before the Crown (Part 1),,"Which pre-Queen band included Freddie, Mike Bersin and Tupp Taylor?",,,,Wreckage,true
Queen Quiz: Before the Crown (Part 1),,"Which pre-Queen band included Freddie, Mike Bersin and Tupp Taylor?",,,,The Hectics,false
Queen Quiz: Before the Crown (Part 1),,What was the venue for 1984's first public gig in October 1964?,Brian May,hard,3,Imperial College,false
Queen Quiz: Before the Crown (Part 1),,What was the venue for 1984's first public gig in October 1964?,,,,St Mary's Church Hall,true
Queen Quiz: Before the Crown (Part 1),,What was the venue for 1984's first public gig in October 1964?,,,,Truro City Hall,false
Queen Quiz: Before the Crown (Part 1),,What was the venue for 1984's first public gig in October 1964?,,,,Royal Albert Hall,false
Queen Quiz: Before the Crown (Part 1),,Which college awarded John Deacon a first-class honours degree in electronics?,John Deacon,hard,3,Chelsea College,true
Queen Quiz: Before the Crown (Part 1),,Which college awarded John Deacon a first-class honours degree in electronics?,,,,Imperial College,false
Queen Quiz: Before the Crown (Part 1),,Which college awarded John Deacon a first-class honours degree in electronics?,,,,Ealing College of Art,false
Queen Quiz: Before the Crown (Part 1),,Which college awarded John Deacon a first-class honours degree in electronics?,,,,Truro School,false
Queen Quiz: Before the Crown (Part 1),,At which unusual Epsom venue did Queen support Arthur Brown's Kingdom Come in 1971?,Early Queen,hard,4,A swimming baths,true
Queen Quiz: Before the Crown (Part 1),,At which unusual Epsom venue did Queen support Arthur Brown's Kingdom Come in 1971?,,,,A racecourse,false
Queen Quiz: Before the Crown (Part 1),,At which unusual Epsom venue did Queen support Arthur Brown's Kingdom Come in 1971?,,,,A cinema,false
Queen Quiz: Before the Crown (Part 1),,At which unusual Epsom venue did Queen support Arthur Brown's Kingdom Come in 1971?,,,,A football ground,false
Queen Quiz: Before the Crown (Part 1),,What was Roger Taylor's Truro band the Cousin Jacks briefly renamed?,Roger Taylor,hard,3,The Falcons,true
Queen Quiz: Before the Crown (Part 1),,What was Roger Taylor's Truro band the Cousin Jacks briefly renamed?,,,,The Hectics,false
Queen Quiz: Before the Crown (Part 1),,What was Roger Taylor's Truro band the Cousin Jacks briefly renamed?,,,,The Reaction,false
Queen Quiz: Before the Crown (Part 1),,What was Roger Taylor's Truro band the Cousin Jacks briefly renamed?,,,,Smile,false
Queen Quiz: Before the Crown (Part 1),,Which company released Queen's debut album in the United States?,Early Queen,hard,3,EMI,false
Queen Quiz: Before the Crown (Part 1),,Which company released Queen's debut album in the United States?,,,,Mercury Records,false
Queen Quiz: Before the Crown (Part 1),,Which company released Queen's debut album in the United States?,,,,Capitol Records,false
Queen Quiz: Before the Crown (Part 1),,Which company released Queen's debut album in the United States?,,,,Elektra Records,true
Queen Quiz: Before the Crown (Part 1),,Which band did Smile support at their first public gig at Imperial College?,Smile,hard,3,The Who,false
Queen Quiz: Before the Crown (Part 1),,Which band did Smile support at their first public gig at Imperial College?,,,,Pink Floyd,true
Queen Quiz: Before the Crown (Part 1),,Which band did Smile support at their first public gig at Imperial College?,,,,Led Zeppelin,false
Queen Quiz: Before the Crown (Part 1),,Which band did Smile support at their first public gig at Imperial College?,,,,The Kinks,false
Queen Quiz: Before the Crown (Part 1),,Which future Queen member studied graphic design at Ealing College of Art?,Early Queen,hard,3,Brian May,false
Queen Quiz: Before the Crown (Part 1),,Which future Queen member studied graphic design at Ealing College of Art?,,,,Freddie Mercury,true
Queen Quiz: Before the Crown (Part 1),,Which future Queen member studied graphic design at Ealing College of Art?,,,,John Deacon,false
Queen Quiz: Before the Crown (Part 1),,Which future Queen member studied graphic design at Ealing College of Art?,,,,Roger Taylor,false
Queen Quiz: Before the Crown (Part 1),,Which band headlined Queen's first outdoor gig near Truro in 1971?,Early Queen,hard,3,Mott the Hoople,false
Queen Quiz: Before the Crown (Part 1),,Which band headlined Queen's first outdoor gig near Truro in 1971?,,,,Pink Floyd,false
Queen Quiz: Before the Crown (Part 1),,Which band headlined Queen's first outdoor gig near Truro in 1971?,,,,Arthur Brown's Kingdom Come,true
Queen Quiz: Before the Crown (Part 1),,Which band headlined Queen's first outdoor gig near Truro in 1971?,,,,The Who,false
Queen Quiz: Before the Crown (Part 1),,Which US label released Smile's 'Earth' single?,Smile,hard,3,Mercury Records,true
Queen Quiz: Before the Crown (Part 1),,Which US label released Smile's 'Earth' single?,,,,EMI,false
Queen Quiz: Before the Crown (Part 1),,Which US label released Smile's 'Earth' single?,,,,Elektra,false
Queen Quiz: Before the Crown (Part 1),,Which US label released Smile's 'Earth' single?,,,,Capitol Records,false
Queen Quiz: Before the Crown (Part 1),,Which guitarist's band 1984 supported Jimi Hendrix at Imperial College in 1967?,Brian May,hard,3,Roger Taylor,false
Queen Quiz: Before the Crown (Part 1),,Which guitarist's band 1984 supported Jimi Hendrix at Imperial College in 1967?,,,,Freddie Mercury,false
Queen Quiz: Before the Crown (Part 1),,Which guitarist's band 1984 supported Jimi Hendrix at Imperial College in 1967?,,,,John Deacon,false
Queen Quiz: Before the Crown (Part 1),,Which guitarist's band 1984 supported Jimi Hendrix at Imperial College in 1967?,,,,Brian May,true
Queen Quiz: Before the Crown (Part 1),,Which school gave Roger Taylor a choral scholarship?,Roger Taylor,hard,3,Truro School,false
Queen Quiz: Before the Crown (Part 1),,Which school gave Roger Taylor a choral scholarship?,,,,Hampton Grammar School,false
Queen Quiz: Before the Crown (Part 1),,Which school gave Roger Taylor a choral scholarship?,,,,St Peter's School,false
Queen Quiz: Before the Crown (Part 1),,Which school gave Roger Taylor a choral scholarship?,,,,Truro Cathedral School,true
Queen Quiz: Before the Crown (Part 1),,At which college disco was John Deacon introduced to Brian May and Roger Taylor?,John Deacon,hard,4,Imperial College,false
Queen Quiz: Before the Crown (Part 1),,At which college disco was John Deacon introduced to Brian May and Roger Taylor?,,,,Maria Assumpta College,true
Queen Quiz: Before the Crown (Part 1),,At which college disco was John Deacon introduced to Brian May and Roger Taylor?,,,,Bedford College,false
Queen Quiz: Before the Crown (Part 1),,At which college disco was John Deacon introduced to Brian May and Roger Taylor?,,,,Chelsea College,false
Queen Quiz: Before the Crown (Part 1),,Which short-lived band did Freddie audition for in Leatherhead?,Freddie Mercury,hard,4,The Reaction,false
Queen Quiz: Before the Crown (Part 1),,Which short-lived band did Freddie audition for in Leatherhead?,,,,Sour Milk Sea,true
Queen Quiz: Before the Crown (Part 1),,Which short-lived band did Freddie audition for in Leatherhead?,,,,The Opposition,false
Queen Quiz: Before the Crown (Part 1),,Which short-lived band did Freddie audition for in Leatherhead?,,,,1984,false
Queen Quiz: Before the Crown (Part 1),,Which band did Smile support at a Richmond Athletic Club gig in early 1969?,Smile,hard,4,Free,false
Queen Quiz: Before the Crown (Part 1),,Which band did Smile support at a Richmond Athletic Club gig in early 1969?,,,,Traffic,false
Queen Quiz: Before the Crown (Part 1),,Which band did Smile support at a Richmond Athletic Club gig in early 1969?,,,,Yes,true
Queen Quiz: Before the Crown (Part 1),,Which band did Smile support at a Richmond Athletic Club gig in early 1969?,,,,Spooky Tooth,false
Queen Quiz: Before the Crown (Part 1),,Which Trident executive saw Queen at a Forest Hill hospital dance and offered a deal?,Early Queen,hard,3,Jack Nelson,false
Queen Quiz: Before the Crown (Part 1),,Which Trident executive saw Queen at a Forest Hill hospital dance and offered a deal?,,,,Barry Sheffield,true
Queen Quiz: Before the Crown (Part 1),,Which Trident executive saw Queen at a Forest Hill hospital dance and offered a deal?,,,,John Anthony,false
Queen Quiz: Before the Crown (Part 1),,Which Trident executive saw Queen at a Forest Hill hospital dance and offered a deal?,,,,Roy Thomas Baker,false
Queen Quiz: Before the Crown (Part 2),Additional sourced Queen questions for editorial review.,"Which production company signed Queen to recording, publishing and management agreements?",Early Queen,hard,3,Trident Audio Productions,true
Queen Quiz: Before the Crown (Part 2),,"Which production company signed Queen to recording, publishing and management agreements?",,,,EMI Records,false
Queen Quiz: Before the Crown (Part 2),,"Which production company signed Queen to recording, publishing and management agreements?",,,,Mercury Records,false
Queen Quiz: Before the Crown (Part 2),,"Which production company signed Queen to recording, publishing and management agreements?",,,,Rocket Records,false
Queen Quiz: Before the Crown (Part 2),,How much weekly pay did Trident agree for each Queen member in 1972?,Early Queen,hard,4,£10,false
Queen Quiz: Before the Crown (Part 2),,How much weekly pay did Trident agree for each Queen member in 1972?,,,,£50,false
Queen Quiz: Before the Crown (Part 2),,How much weekly pay did Trident agree for each Queen member in 1972?,,,,£20,true
Queen Quiz: Before the Crown (Part 2),,How much weekly pay did Trident agree for each Queen member in 1972?,,,,£100,false
Queen Quiz: Before the Crown (Part 2),,In which Indian town was Freddie's St Peter's boarding school?,Freddie Mercury,hard,3,Panchgani,true
Queen Quiz: Before the Crown (Part 2),,In which Indian town was Freddie's St Peter's boarding school?,,,,Mumbai,false
Queen Quiz: Before the Crown (Part 2),,In which Indian town was Freddie's St Peter's boarding school?,,,,Pune,false
Queen Quiz: Before the Crown (Part 2),,In which Indian town was Freddie's St Peter's boarding school?,,,,Goa,false
Queen Quiz: Before the Crown (Part 2),,Which member of Queen played his first public gig with 1984 at St Mary's Church Hall?,Brian May,medium,2,Roger Taylor,false
Queen Quiz: Before the Crown (Part 2),,Which member of Queen played his first public gig with 1984 at St Mary's Church Hall?,,,,Freddie Mercury,false
Queen Quiz: Before the Crown (Part 2),,Which member of Queen played his first public gig with 1984 at St Mary's Church Hall?,,,,Brian May,true
Queen Quiz: Before the Crown (Part 2),,Which member of Queen played his first public gig with 1984 at St Mary's Church Hall?,,,,John Deacon,false
Queen Quiz: Before the Crown (Part 2),,Which bassist played his last Queen shows in January 1971?,Early Queen,hard,3,Mike Grose,false
Queen Quiz: Before the Crown (Part 2),,Which bassist played his last Queen shows in January 1971?,,,,Tim Staffell,false
Queen Quiz: Before the Crown (Part 2),,Which bassist played his last Queen shows in January 1971?,,,,John Deacon,false
Queen Quiz: Before the Crown (Part 2),,Which bassist played his last Queen shows in January 1971?,,,,Barry Mitchell,true
Queen Quiz: Before the Crown (Part 2),,What subject did Freddie study at Isleworth Polytechnic?,Freddie Mercury,medium,2,Physics,false
Queen Quiz: Before the Crown (Part 2),,What subject did Freddie study at Isleworth Polytechnic?,,,,Biology,false
Queen Quiz: Before the Crown (Part 2),,What subject did Freddie study at Isleworth Polytechnic?,,,,Art,true
Queen Quiz: Before the Crown (Part 2),,What subject did Freddie study at Isleworth Polytechnic?,,,,Electronics,false
Queen Quiz: Before the Crown (Part 2),,Which subject did Roger Taylor start studying in London in 1967?,Roger Taylor,hard,3,Biology,false
Queen Quiz: Before the Crown (Part 2),,Which subject did Roger Taylor start studying in London in 1967?,,,,Astronomy,false
Queen Quiz: Before the Crown (Part 2),,Which subject did Roger Taylor start studying in London in 1967?,,,,Fine art,false
Queen Quiz: Before the Crown (Part 2),,Which subject did Roger Taylor start studying in London in 1967?,,,,Dentistry,true
Queen Quiz: Before the Crown (Part 2),,Who introduced Freddie Bulsara to a Smile rehearsal while they were art-college friends?,Smile,hard,3,John Anthony,false
Queen Quiz: Before the Crown (Part 2),,Who introduced Freddie Bulsara to a Smile rehearsal while they were art-college friends?,,,,Tim Staffell,true
Queen Quiz: Before the Crown (Part 2),,Who introduced Freddie Bulsara to a Smile rehearsal while they were art-college friends?,,,,Mike Grose,false
Queen Quiz: Before the Crown (Part 2),,Who introduced Freddie Bulsara to a Smile rehearsal while they were art-college friends?,,,,Barry Mitchell,false
Queen Quiz: Before the Crown (Part 2),,Which Cornish band did Roger Taylor join in 1965 before it became simply Reaction?,Roger Taylor,hard,3,The Cousin Jacks,false
Queen Quiz: Before the Crown (Part 2),,Which Cornish band did Roger Taylor join in 1965 before it became simply Reaction?,,,,Johnny Quale and the Reaction,true
Queen Quiz: Before the Crown (Part 2),,Which Cornish band did Roger Taylor join in 1965 before it became simply Reaction?,,,,The New Opposition,false
Queen Quiz: Before the Crown (Part 2),,Which Cornish band did Roger Taylor join in 1965 before it became simply Reaction?,,,,The Art,false
Queen Quiz: Before the Crown (Part 2),,Who replaced Mike Grose on bass in Queen's early 1970 line-up?,Early Queen,hard,3,Barry Mitchell,true
Queen Quiz: Before the Crown (Part 2),,Who replaced Mike Grose on bass in Queen's early 1970 line-up?,,,,John Deacon,false
Queen Quiz: Before the Crown (Part 2),,Who replaced Mike Grose on bass in Queen's early 1970 line-up?,,,,Tim Staffell,false
Queen Quiz: Before the Crown (Part 2),,Who replaced Mike Grose on bass in Queen's early 1970 line-up?,,,,Clive Castledine,false
Queen Quiz: Before the Crown (Part 2),,At which Indian boarding school did young Freddie Bulsara study?,Freddie Mercury,medium,2,Truro School,false
Queen Quiz: Before the Crown (Part 2),,At which Indian boarding school did young Freddie Bulsara study?,,,,Hampton Grammar,false
Queen Quiz: Before the Crown (Part 2),,At which Indian boarding school did young Freddie Bulsara study?,,,,Beauchamp Grammar,false
Queen Quiz: Before the Crown (Part 2),,At which Indian boarding school did young Freddie Bulsara study?,,,,St Peter's,true
Queen Quiz: Before the Crown (Part 2),,At what kind of event did The Opposition play their first public gig?,John Deacon,hard,4,A house party,true
Queen Quiz: Before the Crown (Part 2),,At what kind of event did The Opposition play their first public gig?,,,,A school assembly,false
Queen Quiz: Before the Crown (Part 2),,At what kind of event did The Opposition play their first public gig?,,,,A radio session,false
Queen Quiz: Before the Crown (Part 2),,At what kind of event did The Opposition play their first public gig?,,,,A football match,false
Queen Quiz: Before the Crown (Part 2),,How much did John Deacon pay for his first Eko bass?,John Deacon,hard,4,£12,false
Queen Quiz: Before the Crown (Part 2),,How much did John Deacon pay for his first Eko bass?,,,,£60,false
Queen Quiz: Before the Crown (Part 2),,How much did John Deacon pay for his first Eko bass?,,,,£100,false
Queen Quiz: Before the Crown (Part 2),,How much did John Deacon pay for his first Eko bass?,,,,£22,true
Queen Quiz: Before the Crown (Part 2),,"After Johnny Quale left, who took over lead vocals in Reaction?",Roger Taylor,hard,4,John Deacon,false
Queen Quiz: Before the Crown (Part 2),,"After Johnny Quale left, who took over lead vocals in Reaction?",,,,Brian May,false
Queen Quiz: Before the Crown (Part 2),,"After Johnny Quale left, who took over lead vocals in Reaction?",,,,Roger Taylor,true
Queen Quiz: Before the Crown (Part 2),,"After Johnny Quale left, who took over lead vocals in Reaction?",,,,Freddie Mercury,false
Queen Quiz: Before the Crown (Part 2),,Which producer recorded Smile's two Mercury Records tracks at Trident Studios?,Smile,hard,4,Roy Thomas Baker,false
Queen Quiz: Before the Crown (Part 2),,Which producer recorded Smile's two Mercury Records tracks at Trident Studios?,,,,Mike Stone,false
Queen Quiz: Before the Crown (Part 2),,Which producer recorded Smile's two Mercury Records tracks at Trident Studios?,,,,Reinhold Mack,false
Queen Quiz: Before the Crown (Part 2),,Which producer recorded Smile's two Mercury Records tracks at Trident Studios?,,,,John Anthony,true
Queen Quiz: Before the Crown (Part 2),,"Which all-night 1967 event put 1984 on a bill with Jimi Hendrix, Pink Floyd and Traffic?",Brian May,hard,4,The 14 Hour Technicolor Dream,false
Queen Quiz: Before the Crown (Part 2),,"Which all-night 1967 event put 1984 on a bill with Jimi Hendrix, Pink Floyd and Traffic?",,,,Christmas on Earth,true
Queen Quiz: Before the Crown (Part 2),,"Which all-night 1967 event put 1984 on a bill with Jimi Hendrix, Pink Floyd and Traffic?",,,,Festival of the Flower Children,false
Queen Quiz: Before the Crown (Part 2),,"Which all-night 1967 event put 1984 on a bill with Jimi Hendrix, Pink Floyd and Traffic?",,,,The British Blues Festival,false
Queen Quiz: Before the Crown (Part 2),,Where did Brian May's band 1984 win a talent contest in 1967?,Brian May,hard,4,"Top Rank Club, Croydon",true
Queen Quiz: Before the Crown (Part 2),,Where did Brian May's band 1984 win a talent contest in 1967?,,,,"Marquee Club, London",false
Queen Quiz: Before the Crown (Part 2),,Where did Brian May's band 1984 win a talent contest in 1967?,,,,"Cavern Club, Liverpool",false
Queen Quiz: Before the Crown (Part 2),,Where did Brian May's band 1984 win a talent contest in 1967?,,,,"Rainbow Theatre, London",false
Queen Quiz: Before the Crown (Part 2),,On what date did The Opposition play their first major gig at Enderby's Co-operative Hall?,John Deacon,hard,4,4 December 1966,false
Queen Quiz: Before the Crown (Part 2),,On what date did The Opposition play their first major gig at Enderby's Co-operative Hall?,,,,4 December 1965,true
Queen Quiz: Before the Crown (Part 2),,On what date did The Opposition play their first major gig at Enderby's Co-operative Hall?,,,,14 December 1965,false
Queen Quiz: Before the Crown (Part 2),,On what date did The Opposition play their first major gig at Enderby's Co-operative Hall?,,,,4 November 1965,false
Queen Quiz: Before the Crown (Part 2),,What was Queen's first BBC Radio One programme in 1973?,Early Queen,hard,3,Sounds of the Seventies,true
Queen Quiz: Before the Crown (Part 2),,What was Queen's first BBC Radio One programme in 1973?,,,,Top Gear,false
Queen Quiz: Before the Crown (Part 2),,What was Queen's first BBC Radio One programme in 1973?,,,,In Concert,false
Queen Quiz: Before the Crown (Part 2),,What was Queen's first BBC Radio One programme in 1973?,,,,The Old Grey Whistle Test,false
Queen Quiz: Before the Crown (Part 2),,Which label first signed Queen for UK and European record releases?,Early Queen,hard,3,Elektra,false
Queen Quiz: Before the Crown (Part 2),,Which label first signed Queen for UK and European record releases?,,,,Mercury,false
Queen Quiz: Before the Crown (Part 2),,Which label first signed Queen for UK and European record releases?,,,,EMI,true
Queen Quiz: Before the Crown (Part 2),,Which label first signed Queen for UK and European record releases?,,,,Capitol,false
Queen Quiz: Before the Crown (Part 2),,What was the name of Roger Taylor's first childhood group?,Roger Taylor,hard,3,The Reaction,false
Queen Quiz: Before the Crown (Part 2),,What was the name of Roger Taylor's first childhood group?,,,,The Cousin Jacks,false
Queen Quiz: Before the Crown (Part 2),,What was the name of Roger Taylor's first childhood group?,,,,The Bubblingover Boys,true
Queen Quiz: Before the Crown (Part 2),,What was the name of Roger Taylor's first childhood group?,,,,The Hectics,false
Queen Quiz: Before the Crown (Part 2),,What makeshift band name did John Deacon use for a one-off college gig in 1970?,John Deacon,hard,4,The Art,false
Queen Quiz: Before the Crown (Part 2),,What makeshift band name did John Deacon use for a one-off college gig in 1970?,,,,The New Opposition,false
Queen Quiz: Before the Crown (Part 2),,What makeshift band name did John Deacon use for a one-off college gig in 1970?,,,,Deacon,true
Queen Quiz: Before the Crown (Part 2),,What makeshift band name did John Deacon use for a one-off college gig in 1970?,,,,Smile,false
Queen Quiz: Before the Crown (Part 2),,Which DJ broadcast Queen's 1973 BBC session with new versions of their early songs?,Early Queen,hard,4,Alan Freeman,false
Queen Quiz: Before the Crown (Part 2),,Which DJ broadcast Queen's 1973 BBC session with new versions of their early songs?,,,,John Peel,true
Queen Quiz: Before the Crown (Part 2),,Which DJ broadcast Queen's 1973 BBC session with new versions of their early songs?,,,,Bob Harris,false
Queen Quiz: Before the Crown (Part 2),,Which DJ broadcast Queen's 1973 BBC session with new versions of their early songs?,,,,Kenny Everett,false
Queen Quiz: Before the Crown (Part 2),,At which London club did Smile play a Mercury Records showcase supporting Kippington Lodge?,Smile,hard,4,The Roundhouse,false
Queen Quiz: Before the Crown (Part 2),,At which London club did Smile play a Mercury Records showcase supporting Kippington Lodge?,,,,The Speakeasy,false
Queen Quiz: Before the Crown (Part 2),,At which London club did Smile play a Mercury Records showcase supporting Kippington Lodge?,,,,The Marquee,true
Queen Quiz: Before the Crown (Part 2),,At which London club did Smile play a Mercury Records showcase supporting Kippington Lodge?,,,,The Lyceum,false
