QuizTitle,QuestionText,EditorialDifficulty,Source
Queen Quiz: Archive Explorer (Part 1),In which decade did this happen: Queen play the Pavilion de Paris amid tight police crowd restrictions?,Easy,Queen: As It Began (user-supplied text); history key queen-play-the-pavilion-de-paris-amid-tight-police-crowd-restrictions-1978-04-23
Queen Quiz: Archive Explorer (Part 1),In which decade did this happen: Brian leaves Hampton Grammar School with ten O levels and four A levels?,Easy,Queen: As It Began (user-supplied text); history key brian-leaves-hampton-grammar-school-with-ten-o-levels-and-four-a-levels-1965
Queen Quiz: Archive Explorer (Part 1),What is the Mercury Phoenix Trust's annual dress-up fundraiser launched in 2010 called?,Easy,https://www.queenonline.com/freddie_mercury
Queen Quiz: Archive Explorer (Part 1),In which country did Queen play at Kokusai Kaikan on 23 April 1975?,Medium,https://www.queenconcerts.com/detail/live/180/queen-live-23-04-1975-kokusai-kaikan-kobe-japan.html
Queen Quiz: Archive Explorer (Part 1),In which country did Queen play at Yokohama Bunka Taikukan on 30 April 1975?,Medium,https://www.queenconcerts.com/detail/live/184/queen-live-30-04-1975-yokohama-bunka-taikukan-yokohama-japan.html
Queen Quiz: Archive Explorer (Part 1),In what year did this Queen-related event occur: Queen fly home to the UK for Christmas after their exhausting US tour?,Medium,Queen: As It Began (user-supplied text); history key queen-fly-home-to-the-uk-for-christmas-after-their-exhausting-us-tour-1977-12-24
Queen Quiz: Archive Explorer (Part 1),In which South African city was the first major 46664 concert held in 2003?,Medium,https://www.queenonline.com/brian_may
Queen Quiz: Archive Explorer (Part 1),In which country did Queen play at Auditorium Theater on 22 February 1976?,Medium,https://www.queenconcerts.com/detail/live/2049/queen-live-22-02-1976-auditorium-theater-chicago-il-usa.html
Queen Quiz: Archive Explorer (Part 1),In which country did Queen play at Veteran's Memorial Coliseum on 10 September 1982?,Medium,https://www.queenconcerts.com/detail/live/612/queen-live-10-09-1982-veterans-memorial-coliseum-phoenix-az-usa.html
Queen Quiz: Archive Explorer (Part 1),In what year did this Queen-related event occur: Freddie's single 'Time' (from the stage musical of the same name) is released; the video is filmed at 6am on the closed set of the Dominion Theatre?,Medium,Queen: As It Began (user-supplied text); history key freddie-s-single-time-from-the-stage-musical-of-the-same-name-is-released-the-video-is-filmed-at-6am-on-the-1986-05-06
Queen Quiz: Archive Explorer (Part 1),In which month of 1975 did this happen: Queen depart for their first headlining US tour?,Hard,Queen: As It Began (user-supplied text); history key queen-depart-for-their-first-headlining-us-tour-1975-01-31
Queen Quiz: Archive Explorer (Part 1),In what year did this Queen-related event occur: Queen perform (mimed) at the Golden Rose pop festival in Switzerland?,Hard,Queen: As It Began (user-supplied text); history key queen-perform-mimed-at-the-golden-rose-pop-festival-in-switzerland-1984-05-12
Queen Quiz: Archive Explorer (Part 1),"In which month of 1974 did this happen: Queen play their first-ever US gig, at Regis College, Denver?",Hard,Queen: As It Began (user-supplied text); history key queen-play-their-first-ever-us-gig-at-regis-college-denver-1974-04-16
Queen Quiz: Archive Explorer (Part 1),Which city hosted Queen's 25 November 1974 show at Helsingin Kulttuuritalo?,Hard,https://www.queenconcerts.com/detail/live/135/queen-live-25-11-1974-helsingin-kulttuuritalo-helsinki-finland.html
Queen Quiz: Archive Explorer (Part 1),"In which month of 1975 did this happen: EMI releases A Night at the Opera, titled after the band's favourite Marx Brothers film?",Hard,Queen: As It Began (user-supplied text); history key emi-releases-a-night-at-the-opera-titled-after-the-band-s-favourite-marx-brothers-film-1975-11-21
Queen Quiz: Archive Explorer (Part 1),Which city hosted Queen's 22 December 1979 show at Alexandra Palace?,Hard,https://www.queenconcerts.com/detail/live/469/queen-live-22-12-1979-alexandra-palace-london-uk.html
Queen Quiz: Archive Explorer (Part 1),Which city hosted Queen's 9 November 1978 show at Cobo Arena?,Hard,https://www.queenconcerts.com/detail/live/379/queen-live-09-11-1978-cobo-arena-detroit-mi-usa.html
Queen Quiz: Archive Explorer (Part 1),Which Queen member has the individual writing credit for 'Lazing on a Sunday Afternoon'?,Hard,"Queen: Complete Works (user-supplied text), Part Three: The Songs; Lazing on a Sunday Afternoon"
