QuizTitle,QuizDescription,QuestionText,Category,Difficulty,Points,OptionText,IsCorrect
Bohemian Rhapsody: The Movie (Part 1),"Test your knowledge of the 2018 Queen biopic, from its central characters and story to the songs recreated on screen.",Who plays Freddie Mercury in Bohemian Rhapsody?,Cast,easy,1,Rami Malek,true
Bohemian Rhapsody: The Movie (Part 1),"",Who plays Freddie Mercury in Bohemian Rhapsody?,"","","",Gwilym Lee,false
Bohemian Rhapsody: The Movie (Part 1),"",Who plays Freddie Mercury in Bohemian Rhapsody?,"","","",Ben Hardy,false
Bohemian Rhapsody: The Movie (Part 1),"",Who plays Freddie Mercury in Bohemian Rhapsody?,"","","",Joseph Mazzello,false
Bohemian Rhapsody: The Movie (Part 1),"",Who plays Mary Austin?,Cast,easy,1,Aidan Gillen,false
Bohemian Rhapsody: The Movie (Part 1),"",Who plays Mary Austin?,"","","",Lucy Boynton,true
Bohemian Rhapsody: The Movie (Part 1),"",Who plays Mary Austin?,"","","",Meneka Das,false
Bohemian Rhapsody: The Movie (Part 1),"",Who plays Mary Austin?,"","","",Priya Blackburn,false
Bohemian Rhapsody: The Movie (Part 1),"",Which actor portrays Brian May?,Cast,easy,1,Ben Hardy,false
Bohemian Rhapsody: The Movie (Part 1),"",Which actor portrays Brian May?,"","","",Allen Leech,false
Bohemian Rhapsody: The Movie (Part 1),"",Which actor portrays Brian May?,"","","",Gwilym Lee,true
Bohemian Rhapsody: The Movie (Part 1),"",Which actor portrays Brian May?,"","","",Aaron McCusker,false
Bohemian Rhapsody: The Movie (Part 1),"",Which actor portrays Roger Taylor?,Cast,easy,1,Joseph Mazzello,false
Bohemian Rhapsody: The Movie (Part 1),"",Which actor portrays Roger Taylor?,"","","",Gwilym Lee,false
Bohemian Rhapsody: The Movie (Part 1),"",Which actor portrays Roger Taylor?,"","","",Rami Malek,false
Bohemian Rhapsody: The Movie (Part 1),"",Which actor portrays Roger Taylor?,"","","",Ben Hardy,true
Bohemian Rhapsody: The Movie (Part 1),"",Which actor portrays John Deacon?,Cast,easy,1,Joseph Mazzello,true
Bohemian Rhapsody: The Movie (Part 1),"",Which actor portrays John Deacon?,"","","",Mike Myers,false
Bohemian Rhapsody: The Movie (Part 1),"",Which actor portrays John Deacon?,"","","",Tom Hollander,false
Bohemian Rhapsody: The Movie (Part 1),"",Which actor portrays John Deacon?,"","","",Aidan Gillen,false
Bohemian Rhapsody: The Movie (Part 1),"",Which band is at the centre of the film?,Story,easy,1,The Beatles,false
Bohemian Rhapsody: The Movie (Part 1),"",Which band is at the centre of the film?,"","","",Queen,true
Bohemian Rhapsody: The Movie (Part 1),"",Which band is at the centre of the film?,"","","",Led Zeppelin,false
Bohemian Rhapsody: The Movie (Part 1),"",Which band is at the centre of the film?,"","","",The Rolling Stones,false
Bohemian Rhapsody: The Movie (Part 1),"",Which benefit concert forms the film's climax?,Live Aid,easy,1,Farm Aid,false
Bohemian Rhapsody: The Movie (Part 1),"",Which benefit concert forms the film's climax?,"","","",Concert for Kampuchea,false
Bohemian Rhapsody: The Movie (Part 1),"",Which benefit concert forms the film's climax?,"","","",Live Aid,true
Bohemian Rhapsody: The Movie (Part 1),"",Which benefit concert forms the film's climax?,"","","",The Freddie Mercury Tribute Concert,false
Bohemian Rhapsody: The Movie (Part 1),"",At which stadium does the film's Live Aid finale take place?,Live Aid,easy,1,Madison Square Garden,false
Bohemian Rhapsody: The Movie (Part 1),"",At which stadium does the film's Live Aid finale take place?,"","","",Knebworth Park,false
Bohemian Rhapsody: The Movie (Part 1),"",At which stadium does the film's Live Aid finale take place?,"","","",Hyde Park,false
Bohemian Rhapsody: The Movie (Part 1),"",At which stadium does the film's Live Aid finale take place?,"","","",Wembley Stadium,true
Bohemian Rhapsody: The Movie (Part 1),"",In what year is the film's Live Aid finale set?,Live Aid,easy,1,1985,true
Bohemian Rhapsody: The Movie (Part 1),"",In what year is the film's Live Aid finale set?,"","","",1975,false
Bohemian Rhapsody: The Movie (Part 1),"",In what year is the film's Live Aid finale set?,"","","",1980,false
Bohemian Rhapsody: The Movie (Part 1),"",In what year is the film's Live Aid finale set?,"","","",1991,false
Bohemian Rhapsody: The Movie (Part 1),"",What job does Freddie have when the story flashes back to 1970?,Story,easy,1,Record-store clerk,false
Bohemian Rhapsody: The Movie (Part 1),"",What job does Freddie have when the story flashes back to 1970?,"","","",Baggage handler at Heathrow Airport,true
Bohemian Rhapsody: The Movie (Part 1),"",What job does Freddie have when the story flashes back to 1970?,"","","",Art teacher,false
Bohemian Rhapsody: The Movie (Part 1),"",What job does Freddie have when the story flashes back to 1970?,"","","",Radio producer,false
Bohemian Rhapsody: The Movie (Part 1),"",What is the name of Brian May and Roger Taylor's band when Freddie first meets them?,Story,easy,1,Humpy Bong,false
Bohemian Rhapsody: The Movie (Part 1),"",What is the name of Brian May and Roger Taylor's band when Freddie first meets them?,"","","",The Opposition,false
Bohemian Rhapsody: The Movie (Part 1),"",What is the name of Brian May and Roger Taylor's band when Freddie first meets them?,"","","",Smile,true
Bohemian Rhapsody: The Movie (Part 1),"",What is the name of Brian May and Roger Taylor's band when Freddie first meets them?,"","","",Ibex,false
Bohemian Rhapsody: The Movie (Part 1),"",Which singer has just left Smile when Freddie offers to replace him?,Characters,easy,1,Kenny Everett,false
Bohemian Rhapsody: The Movie (Part 1),"",Which singer has just left Smile when Freddie offers to replace him?,"","","",Paul Prenter,false
Bohemian Rhapsody: The Movie (Part 1),"",Which singer has just left Smile when Freddie offers to replace him?,"","","",Jim Hutton,false
Bohemian Rhapsody: The Movie (Part 1),"",Which singer has just left Smile when Freddie offers to replace him?,"","","",Tim Staffell,true
Bohemian Rhapsody: The Movie (Part 1),"",Which surname does Freddie adopt for his stage name?,Characters,easy,1,Mercury,true
Bohemian Rhapsody: The Movie (Part 1),"",Which surname does Freddie adopt for his stage name?,"","","",May,false
Bohemian Rhapsody: The Movie (Part 1),"",Which surname does Freddie adopt for his stage name?,"","","",Taylor,false
Bohemian Rhapsody: The Movie (Part 1),"",Which surname does Freddie adopt for his stage name?,"","","",Austin,false
Bohemian Rhapsody: The Movie (Part 1),"",Which instrument does Brian May play in Queen?,Characters,easy,1,Bass guitar,false
Bohemian Rhapsody: The Movie (Part 1),"",Which instrument does Brian May play in Queen?,"","","",Lead guitar,true
Bohemian Rhapsody: The Movie (Part 1),"",Which instrument does Brian May play in Queen?,"","","",Drums,false
